tag;_id;ano_inicio_programa;bow;cd_area_avaliacao;cd_conceito_programa;cd_programa_ies;nm_area_avaliacao;nm_entidade_ensino;nm_municipio_programa_ies;nm_programa_ies;nm_regiao;pubs;sg_entidade_ensino;sg_uf_programa;tfidf
41002016011p4;41002016011p4;2006.0;"system; model; parameter; film; structure; work; time; space; phase; dimensional; periodic; dynamic; state; equation; pressure; lyapunov; density; bifurcation; map; region; transition; different; disorder; behavior; deposition; carbon; electron; diagram; effect; quantum";3;3;41002016011p4;astronomia / física;universidade do estado de santa catarina;joinville;física;sul;39.0;udesc;sc;"lorenz; disorder; sine; ks; ds; film; anderson; entanglement; potassium; spinor; bifurcation; magnetocaloric; torr; map; walk; wave; reaction model; atom; magnetron; anode; stickiness; dissociation; dft; electronic circuit; chaotic; crisis; ner; eld; circuit; sodium"
41002016026p1;41002016026p1;2014.0;"school; research; education; student; art; teaching; process; experience; theater; practice; music; teacher; work; musical; learning; pedagogical; present; class; proposal; dance; artistic; group; creation; context; knowledge; action; analysis; project; way; public";11;4;41002016026p1;artes;universidade do estado de santa catarina;florianópolis;profartes;sul;161.0;udesc;sc;"costume; present research; embroidery; dance; puppet; trumpet; comic_strip; drawing; aba; choir; game; circus; child; cinema; alterity; art teaching; triangular; v6; selfie; artistic action; cem; theater; clown; goal; improvisation; collaborative process; theatrical; maranhão; school development; drama"
32146019001p3;32146019001p3;2013.0;"gene; information; cancer; method; technology; minas; skin; minas gerais; melanoma; concept; gerais; accident; application; factor; work; treatment; technique; health; objective; device; analysis; software; discipline; database; hormone; state; dengue; main; systems; dw";45;2;32146019001p3;interdisciplinar;faculdade promove de tecnologia;belo horizonte;tecnologias aplicadas à saude;sudeste;25.0;fpt;mg;"dw; nanofiber; discipline; melanoma; cephalometry; cephalometric; accident; device; information technology; electrospinning; computer vision; knowledge discovery; means algorithm; vieira; biometrics; biometric; information systems; concept; fatigue; skin; systems; leader; pcl; mobile; computer; weakness; dengue; obesity; healthy skin; estradiol"
42046017015p5;42046017015p5;2017.0;;38;3;42046017015p5;educação;fundação universidade federal do pampa;bagé;ensino;sul;0.0;unipampa;rs;
42014018170p2;42014018170p2;2016.0;"area; vulnerability; risk; property; rural; afs; lr; rural property; high; natural; extreme; implementation; environmental; taquari; process; use; other; certification; plant; owner; degraded; restoration; vale; technician; preservation; perception; land; rio; specie; agro";45;3;42014018170p2;interdisciplinar;fundacao vale do taquari de educacao e desenvolvimento social - fuvates;lajeado;sistemas ambientais sustentáveis;sul;3.0;univates;rs;"lr; afs; vulnerability; rural property; risk; sema; property; extreme event; extreme; agro; census tract; rural; certification; technician; taquari; hydrological; degraded area; owner; tract; restoration; degraded; milk; rec; new federal; vale; census; event; more extreme; ecology; environmental legislation"
53001010099p0;53001010099p0;2012.0;"specie; area; genus; cerrado; region; distribution; brazil; diversity; group; pattern; bat; family; forest; individual; conservation; analysis; wing; biome; federal; other; brazilian; population; most; main; species; pheromone; variation; chapter; number; use";7;4;53001010099p0;biodiversidade;universidade de brasília;brasília;zoologia;centro-oeste;47.0;unb;df;"bug; wing; mimicry; platform; sexual; central brazil; pheromone; virus; farm; signal; sensorial; pepo; beetle; lu; viral; boll; bat; spider; braconidae; distrito federal; distrito; corridor; leptodactylus; hour; butterfly; weevil; dung; forehead; cotton; pupa"
33004064088p4;33004064088p4;2015.0;"patient; risk; treatment; group; analysis; method; conclusion; age; disease; clinical; case; surgery; year; use; care; complication; child; therapy; value; objective; outcome; level; difference; time; number; review; health; evaluation; service; protocol";15;4;33004064088p4;medicina i;universidade estadual paulista júlio de mesquita filho ( botucatu );botucatu;medicina;sudeste;63.0;unesp-bot;sp;"mmc; acne; rop; stent; fpa; vancomycin; paralysis; antithrombotic; aki; trip; probing; sac; polysomnography; prophylaxis; dart; enlargement; vte; consultation; ttr; nasal; ak; granuloma; eyelid; np; nicotinamide; companion; chest pain; restenosis; hernia; vocal"
32001010093p9;32001010093p9;2013.0;"group; level; cell; patient; control; disease; blood; gene; expression; individual; woman; difference; profile; concentration; significant; plasma; analysis; higher; protein; inflammatory; biomarker; animal; clinical; renal; ad; polymorphism; test; other; diabetic; time";19;4;32001010093p9;farmácia;universidade federal de minas gerais;belo horizonte;análises clínicas e toxicológicas;sudeste;58.0;ufmg;mg;"sepsis; adiponectin; ev; coc; benzene; dox; pcos; ftd; immunomodulator; anxa1; donor; afm; upa; lapachol; acanthamoeba; fao; dementia; pai-1; carbamazepine; vpi; nephropathy; sle; thrombin; ad; nd; phenobarbital; glycosylation; mn; hbv; f1"
28022017001p5;28022017001p5;1979.0;"plant; specie; fruit; production; area; bahia; growth; genetic; soil; cultivar; analysis; oil; pollen; potential; genotype; control; different; sisal; population; region; disease; cassava; water; effect; activity; spp; use; banana; number; work";42;4;28022017001p5;ciências agrárias i;universidade federal do recôncavo da bahia;cruz das almas;ciências agrárias;nordeste;172.0;ufrb;ba;"ppd; mead; caste; rootstock; yam; foc; waxy; centris; honey; propolis; descriptor; pollen; embryogenic; accession; cet; subsp; salinity; fusariosis; biotrophic; nest; scarabaeinae; caffeine; agave; cohesion; fermentation; peanut; fb; ufrb; tcs; bahias"
33002029023p5;33002029023p5;1988.0;"activity; compound; cell; drug; preto; extract; ribeirão; ribeirão preto; skin; formulation; acid; effect; paulo; são paulo; são; analysis; potential; product; method; treatment; different; vitro; system; use; concentration; high; group; development; production; fungus";19;7;33002029023p5;farmácia;universidade de são paulo ( ribeirão preto );ribeirão preto;ciências farmacêuticas;sudeste;268.0;usp/rp;sp;"ins; ppt; peptidase; dexa; msi; trastuzumab; sirna; lapachol; ler; esc; pc; ai; 5-fu; qt; gb; ist; hair; neutrophil; coffee; biofilm; ka; tamoxifen; naringenin; oleoresin; hypoxia; sof; gpi; melanin; ova; disruptive"
33004102029p6;33004102029p6;1985.0;"plant; genotype; genetic; analysis; gene; protein; specie; trait; selection; different; resistance; population; method; cultivar; seed; grain; group; sugarcane; yield; experiment; number; breeding; high; expression; character; production; program; height; agronomic; soybean";42;4;33004102029p6;ciências agrárias i;universidade estadual paulista júlio de mesquita filho ( jaboticabal );jaboticabal;agronomia (genética e melhoramento de plantas);sudeste;148.0;unesp-jab;sp;"tester; haploid; sect; pollen; cuba; eps; cpm; a gemmatalis; its2; xac; pi; mother; hlb; heterotic; lineage; ev; epigenetic; las; oil content; spike; series; reciprocal; pos; race; valencia; methylation; brix; population density; hybrid; coffee"
40015017003p0;40015017003p0;2003.0;"research; language; work; analysis; discourse; text; other; process; teacher; teaching; school; theoretical; practice; education; production; student; context; novel; historical; literature; subject; social; order; reflection; author; literary; question; writing; linguistic; cultural";41;5;40015017003p0;linguística e literatura;universidade estadual do oeste do parana;cascavel;letras;sul;187.0;unioeste;pr;"cfr; inference; kaingang; spelling; mma; linguistic analysis; caiçara; cultural meaning; prova; prison; transvestite; anita; toledo; margarine; death; accounting; pal; itaipu; anthropophagy; pomeranian; supervisor teacher; libras; biopower; patrimonialism; epic theater; social identity; psychotic; naked; sexual violence; tutor"
40003019007p0;40003019007p0;1992.0;"education; teacher; school; research; educational; practice; teaching; training; analysis; process; pedagogical; student; knowledge; course; learning; social; professional; policy; formation; development; datum; state; work; context; history; objective; other; higher; approach; theoretical";38;5;40003019007p0;educação;pontifícia universidade católica do paraná;curitiba;educação;sul;271.0;puc/pr;pr;"social communication; jaraguá; social pedagogy; accounting; hybrid; hospital; arithmetic; polish; prouni; mills; scientific initiation; teachers education; entrepreneurship education; justice; dance; friar; hre; storytelling; school discipline; sociology; pedagogical training; olga; oer; enem; art; religiosity; human right; flipped; collaborative learning; swanwick"
33065012001p6;33065012001p6;1996.0;"education; school; research; teacher; student; higher; higher education; sorocaba; educational; work; practice; keywords:; course; institution; teaching; life; training; process; analysis; university; public; social; daily; state; time; city; thesis; datum; professional; development";38;4;33065012001p6;educação;universidade de sorocaba;sorocaba;educação;sudeste;125.0;uniso;sp;"salesian; gastronomy; parenting; waldorf; educational institute; congo; blog; medicalization; anarchism; extended time; compulsory education; sound; inspector; school inspector; violence; professors; body; drug; community university; railroad; care; functional; pibid; theater; music; beauty; physical education; extended; school group; art"
